word,ci_lower,ci_upper,mean,n,gender_bias
able,2.2,3,2.6,10,neither
aboard,2.428571429,3,2.714285714,14,neither
above,2.8,3.4,3.1,10,neither
absolutely,2.285714286,3.357142857,2.857142857,14,neither
accident,2.642857143,3.428571429,3,14,neither
across,2.785714286,3,2.928571429,14,neither
act (part of a play),3,3.384615385,3.153846154,13,f
adopted,3,3.533333333,3.2,15,f
ago,3,3.5,3.2,10,f
adventure,2.384615385,3.153846154,2.769230769,13,neither
afraid,2.857142857,3.285714286,3.071428571,14,neither
after,2.583333333,3,2.833333333,12,neither
afternoon,2.9,3.7,3.3,10,neither
again,2.7,3,2.9,10,neither
against,2.357142857,3.142857143,2.785714286,14,neither
agree,3,3.384615385,3.153846154,13,f
air,3,3.428571429,3.214285714,14,f
ah,2.6,3.6025,3.1,10,neither
ahead,2.785714286,3.214285714,3,14,neither
alice,4.785714286,5,4.928571429,14,f
airplanes,2.5,3.071428571,2.785714286,14,neither
airport,2.428571429,3,2.714285714,14,neither
already,3,3.357142857,3.142857143,14,f
also,3,3,3,10,f
although,3,3.333333333,3.133333333,15,f
alarm,2.647058824,3.117647059,2.882352941,17,neither
am,3,3.214285714,3.071428571,14,f
amazed,3.076923077,3.615384615,3.307692308,13,f
alive,2.866666667,3.466666667,3.133333333,15,neither
all,2.714285714,3.142857143,2.928571429,14,neither
alley,1.916666667,3.166666667,2.583333333,12,neither
amazing,3.230769231,3.923076923,3.538461538,13,f
allowed,2.714285714,3.428571429,3.071428571,14,neither
almost,2.7,3.3,3,10,neither
alone,2.857142857,3.571428571,3.214285714,14,neither
along,2.857142857,3.285714286,3.071428571,14,neither
aloud,2.5,3.142857143,2.785714286,14,neither
alphabet,2.571428571,3.214285714,2.928571429,14,neither
Amelia,4.7,5,4.9,10,f
american,3,3,3,14,f
and,3,3.214285714,3.071428571,14,f
always,2.8,3.6,3.2,15,neither
Angelina,4.823529412,5,4.941176471,17,f
Anna,4.785714286,5,4.928571429,14,f
Annabelle,5,5,5,10,f
amble,2.714285714,3.2875,3,14,neither
ambulance,2.357142857,3.071428571,2.714285714,14,neither
Annie,5,5,5,14,f
answers,3,3.384615385,3.153846154,13,f
among,2.615384615,3,2.846153846,13,neither
antique,3.071428571,3.785714286,3.428571429,14,f
anybody,3,3.384615385,3.153846154,13,f
anymore,3,3.357142857,3.142857143,14,f
anything,3,3.230769231,3.076923077,13,f
anyway,3,3.384615385,3.153846154,13,f
animals,2.357142857,3.142857143,2.785714286,14,neither
ankle,2.916666667,3.75,3.333333333,12,neither
apples,3.142857143,3.642857143,3.357142857,14,f
April,4.5,5,4.785714286,14,f
Arabella,4.066666667,4.866666667,4.466666667,15,f
art,3.071428571,3.7875,3.428571429,14,f
annual,2.692307692,3.307692308,3,13,neither
another,2.7,3.3,3,10,neither
answer,2.8125,3.4390625,3.125,16,neither
answered,2.714285714,3.142857143,2.928571429,14,neither
aunt,4.470588235,5,4.764705882,17,f
babies,3.666666667,4.466666667,4.066666667,15,f
baby,3.731666667,4.4,4.066666667,15,f
anxious,2.928571429,3.714285714,3.285714286,14,neither
any,2.7,3,2.9,10,neither
baker,3.071428571,3.714285714,3.357142857,14,f
bakery,3.357142857,4,3.642857143,14,f
anyone,2.333333333,3.25,2.833333333,12,neither
basket,3.4,4,3.7,10,f
bath,3.266666667,4.266666667,3.8,15,f
anywhere,2.769230769,3,2.923076923,13,neither
apart,2.529411765,3,2.764705882,17,neither
apartment,2.8,3.333333333,3.066666667,15,neither
bathroom,3,3.785714286,3.357142857,14,f
beautiful,4.266666667,4.866666667,4.6,15,f
appeared,2.5,3.285714286,2.928571429,14,neither
apple,2.666666667,3.866666667,3.266666667,15,neither
bedroom,3.076923077,3.769230769,3.384615385,13,f
bedtime,3.230769231,3.923076923,3.538461538,13,f
before,3,3.214285714,3.071428571,14,f
beginning,3,3.357142857,3.142857143,14,f
behind,3,3.6,3.2,10,f
arms,2.428571429,3,2.714285714,14,neither
believe,3.071428571,3.714285714,3.428571429,14,f
around,2.466666667,3,2.8,15,neither
arrived,2.571428571,3.142857143,2.857142857,14,neither
bell,3.214285714,3.857142857,3.571428571,14,f
bells,3.214285714,3.857142857,3.571428571,14,f
ask,2.833333333,3.5,3.166666667,12,neither
asked,2.6,3.2,2.9,10,neither
asking,2.857142857,3.357142857,3.071428571,14,neither
asleep,2.5,3,2.75,12,neither
belong,3,3.470588235,3.235294118,17,f
berries,3.5,4.4,3.9,10,f
attention,2.307692308,3.153846154,2.769230769,13,neither
berry,3.4,4.066666667,3.733333333,15,f
australia,2.6,3.466666667,3.066666667,15,neither
Bessy,4.384615385,5,4.692307692,13,f
awake,2.642857143,3,2.857142857,14,neither
away,2.857142857,3.428571429,3.142857143,14,neither
birds,3.285714286,3.928571429,3.642857143,14,f
blanket,3.166666667,4,3.583333333,12,f
bless,3,3.928571429,3.5,14,f
bobbin,3.142857143,4.142857143,3.642857143,14,f
body,3.076923077,3.538461538,3.307692308,13,f
bonny,4.066666667,4.933333333,4.533333333,15,f
born,3.2,4,3.6,10,f
both,3,3,3,10,f
bright,3.285714286,4,3.642857143,14,f
bag,2.928571429,3.642857143,3.285714286,14,neither
baked,2.857142857,4,3.428571429,14,neither
brightly,3.416666667,4.416666667,3.916666667,12,f
bring,3.133333333,3.6,3.333333333,15,f
ball,2.1875,3.125,2.625,16,neither
balloon,2.666666667,3.533333333,3.133333333,15,neither
broom,3.642857143,4.357142857,4,14,f
brush,3.214285714,4.071428571,3.642857143,14,f
bubbles,3.538461538,4.076923077,3.846153846,13,f
bunny,3.857142857,4.285714286,4.071428571,14,f
buns,3.285714286,4.142857143,3.714285714,14,f
bar (candy),2.785714286,3.357142857,3.071428571,14,neither
butterflies,3.933333333,4.466666667,4.2,15,f
butterfly,4.142857143,4.642857143,4.357142857,14,f
button,3.3,3.9,3.6,10,f
buttons,3.375,3.875,3.625,16,f
bye,3.071428571,3.857142857,3.428571429,14,f
cake,3.7,4.5,4.1,10,f
Camilla,5,5,5,10,f
candle,3.384615385,4.153846154,3.769230769,13,f
care,3.583333333,4.416666667,4,12,f
batter,1.928571429,3.285714286,2.571428571,14,neither
cat,3.666666667,4.2,3.933333333,15,f
beach,2.923076923,3.538461538,3.230769231,13,neither
caterpillar,3.230769231,3.923076923,3.538461538,13,f
beans,2.466666667,3.2,2.8,15,neither
catnip,3.294117647,3.764705882,3.529411765,17,f
cats,3.571428571,4.5,4.071428571,14,f
Celeste,3.666666667,5,4.5,12,f
cereal,3,3.384615385,3.153846154,13,f
